"Frank Darabont"
"Francis Ford Coppola"
"Christopher Nolan"
"Francis Ford Coppola"
"Sidney Lumet"
"Steven Spielberg"
"Peter Jackson"
"Quentin Tarantino"
"Peter Jackson"
"Sergio Leone"
"Robert Zemeckis"
"David Fincher"
"Peter Jackson"
"Christopher Nolan"
"Irvin Kershner"
"Lana Wachowski"
"Martin Scorsese"
"Milos Forman"
"David Fincher"
"Frank Capra"
"Akira Kurosawa"
"Christopher Nolan"
"Jonathan Demme"
"Steven Spielberg"
"Fernando Meirelles"
"Roberto Benigni"
"Frank Darabont"
"Joaquim Dos Santos"
"George Lucas"
"James Cameron"
"Robert Zemeckis"
"Hayao Miyazaki"
"Roman Polanski"
"Alfred Hitchcock"
"Bong Joon Ho"
"Ridley Scott"
"Roger Allers"
"Luc Besson"
"Tony Kaye"
"Martin Scorsese"
"Damien Chazelle"
"Christopher Nolan"
"Bryan Singer"
"Isao Takahata"
"Masaki Kobayashi"
"Michael Curtiz"
"Olivier Nakache"
"Charles Chaplin"
"Giuseppe Tornatore"
"Sergio Leone"
"Alfred Hitchcock"
"Ridley Scott"
