1,Tim Robbins,Morgan Freeman,Bob Gunton
2,Marlon Brando,Al Pacino,James Caan
3,Christian Bale,Heath Ledger,Aaron Eckhart
4,Al Pacino,Robert De Niro,Robert Duvall
5,Henry Fonda,Lee J. Cobb,Martin Balsam
6,Liam Neeson,Ralph Fiennes,Ben Kingsley
7,Elijah Wood,Viggo Mortensen,Ian McKellen
8,John Travolta,Uma Thurman,Samuel L. Jackson
9,Elijah Wood,Ian McKellen,Orlando Bloom
10,Clint Eastwood,Eli Wallach,Lee Van Cleef
11,Tom Hanks,Robin Wright,Gary Sinise
12,Brad Pitt,Edward Norton,Meat Loaf
13,Elijah Wood,Ian McKellen,Viggo Mortensen
14,Leonardo DiCaprio,Joseph Gordon-Levitt,Elliot Page
15,Mark Hamill,Harrison Ford,Carrie Fisher
16,Keanu Reeves,Laurence Fishburne,Carrie-Anne Moss
17,Robert De Niro,Ray Liotta,Joe Pesci
18,Jack Nicholson,Louise Fletcher,Michael Berryman
19,Morgan Freeman,Brad Pitt,Kevin Spacey
20,James Stewart,Donna Reed,Lionel Barrymore
21,Toshirô Mifune,Takashi Shimura,Keiko Tsushima
22,Matthew McConaughey,Anne Hathaway,Jessica Chastain
23,Jodie Foster,Anthony Hopkins,Scott Glenn
24,Tom Hanks,Matt Damon,Tom Sizemore
25,Alexandre Rodrigues,Leandro Firmino,Matheus Nachtergaele
26,Roberto Benigni,Nicoletta Braschi,Giorgio Cantarini
27,Tom Hanks,Michael Clarke Duncan,David Morse
28,Shameik Moore,Hailee Steinfeld,Brian Tyree Henry
29,Mark Hamill,Harrison Ford,Carrie Fisher
30,Arnold Schwarzenegger,Linda Hamilton,Edward Furlong
31,Michael J. Fox,Christopher Lloyd,Lea Thompson
32,Daveigh Chase,Suzanne Pleshette,Miyu Irino
33,Adrien Brody,Thomas Kretschmann,Frank Finlay
34,Anthony Perkins,Janet Leigh,Vera Miles
35,Song Kang-ho,Lee Sun-kyun,Cho Yeo-jeong
36,Russell Crowe,Joaquin Phoenix,Connie Nielsen
37,Matthew Broderick,Jeremy Irons,James Earl Jones
38,Jean Reno,Gary Oldman,Natalie Portman
39,Edward Norton,Edward Furlong,Beverly D'Angelo
40,Leonardo DiCaprio,Matt Damon,Jack Nicholson
41,Miles Teller,J.K. Simmons,Melissa Benoist
42,Christian Bale,Hugh Jackman,Scarlett Johansson
43,Kevin Spacey,Gabriel Byrne,Chazz Palminteri
44,Tsutomu Tatsumi,Ayano Shiraishi,Akemi Yamaguchi
45,Tatsuya Nakadai,Akira Ishihama,Shima Iwashita
46,Humphrey Bogart,Ingrid Bergman,Paul Henreid
47,François Cluzet,Omar Sy,Anne Le Ny
48,Charles Chaplin,Paulette Goddard,Henry Bergman
49,Philippe Noiret,Enzo Cannavale,Antonella Attili
50,Henry Fonda,Charles Bronson,Claudia Cardinale
51,James Stewart,Grace Kelly,Wendell Corey
52,Sigourney Weaver,Tom Skerritt,John Hurt
